other	43
includ	42
two	41
first	40
year	39
thi	37
time	37
live	36
made	36
peopl	36
us	36
histori	34
present	34
www	34
see	33
known	32
major	32
place	32
through	32
unit	32
state	31
earli	30
famili	30
part	30
titl	30
american	29
html	29
origin	29
ag	28
becam	28
call	28
gener	28
univers	28
area	27
home	27
hous	27
offici	27
commun	26
type	26
well	26
both	25
featur	25
follow	25
same	25
three	25
war	25
citi	24
end	24
establish	24
land	24
number	24
public	24
second	24
serv	24
total	24
world	24
chang	23
februari	23
form	23
list	23
locat	23
march	23
nation	23
popular	23
press	23
take	23
april	22
back	22
children	22
dai	22
john	22
june	22
line	22
marri	22
posit	22
region	22
result	22
base	21
found	21
high	21
histor	21
make	21
member	21
older	21
popul	21
resid	21
septemb	21
white	21
began	20
decemb	20
juli	20
long	20
note	20
octob	20
race	20
remain	20
water	20
act	19
african	19
becom	19
